Game,Duration (s),Player0 Cards,Player1 Cards,Winner,Community Cards,Bets
1,4.69,"A♠,K♣","8♥,10♠",0,"8♦,J♥,3♦,10♣,4♥","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
2,12.22,"K♠,7♦","8♥,9♥",1,"6♣,3♣,K♥,6♥,8♠","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:raise:150,P0:raise:150,P1:call:50;Round4:P0:call:50,P1:call:50"
3,6.40,"7♦,2♥","3♣,K♠",1,"5♠,4♦,4♠,6♦,4♥","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:raise:100,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
4,2.68,"2♦,4♠","9♥,Q♠",0,"J♦,4♣,7♦,K♦,3♦","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
5,1.92,"J♥,2♦","2♥,4♠",0,"K♣,5♣,Q♥,10♥,4♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:call:50;Round3:P0:call:50;Round4:P0:call:50"
6,3.42,"5♣,J♦","A♣,J♠",1,"A♦,4♦,6♣,2♥,J♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:raise:100,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
7,4.00,"6♦,7♦","7♣,A♣",1,"9♥,4♣,K♦,5♦,8♦","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
8,3.12,"2♣,7♥","A♣,3♣",1,"6♠,K♣,5♠,6♥,A♠","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
9,1.66,"2♦,7♦","10♦,A♦",0,"3♠,K♦,4♦,6♠,A♥","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
10,1.49,"7♣,5♦","A♦,9♠",0,"4♣,10♣,Q♦,3♥,8♦","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:call:50;Round3:P0:call:50;Round4:P0:call:50"
11,2.40,"K♥,3♥","A♥,3♣",0,"5♥,10♠,9♥,Q♠,K♣","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
12,1.98,"2♠,4♥","Q♥,7♥",1,"A♥,5♦,3♦,A♣,10♦",Round1:P1:call:50;Round2:P1:raise:100;Round3:P1:raise:100;Round4:P1:call:50
13,2.22,"4♠,J♦","8♠,9♣",1,"8♥,10♦,A♦,K♥,K♠",Round1:P1:call:50;Round2:;Round3:P0:call:50;Round4:P1:call:50
14,2.52,"K♠,A♥","7♥,Q♣",0,"9♠,3♣,8♥,4♦,A♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
15,2.94,"8♠,3♠","7♦,A♥",1,"Q♠,6♥,5♦,3♥,2♣","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
16,2.78,"A♦,5♥","4♣,6♥",0,"6♣,A♥,8♠,K♣,K♦","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
17,6.17,"9♠,Q♥","A♦,3♦",0,"J♦,A♠,7♠,J♥,6♠","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
18,5.96,"A♣,4♣","9♣,A♦",1,"2♠,7♥,10♥,K♠,6♣","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
19,2.28,"5♣,6♣","9♣,2♦",0,"10♦,3♥,7♣,Q♠,K♠","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
20,5.93,"8♣,2♣","8♦,7♥",1,"3♦,K♠,J♦,9♦,4♥","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
21,17.82,"2♠,5♦","4♦,A♣",0,"9♣,3♠,4♠,K♥,K♦","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
22,3.83,"5♦,A♦","9♠,4♦",0,"2♠,9♣,4♠,J♠,7♠","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
23,27.02,"6♣,A♦","2♥,9♦",0,"Q♣,8♥,6♦,10♦,4♥","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
24,1.62,"J♣,9♦","K♥,5♦",0,"A♥,3♦,5♥,8♦,10♥","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
25,1.01,"4♦,2♥","8♣,6♦",0,"Q♥,3♦,Q♦,A♦,10♦","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:call:50;Round3:P0:call:50;Round4:P0:call:50"
26,0.77,"K♠,10♦","9♦,2♠",0,"3♥,6♥,6♦,10♥,4♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
27,4.56,"4♣,7♦","A♦,3♣",1,"6♣,4♥,10♠,3♠,10♦","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
28,3.21,"K♦,4♠","5♣,7♥",0,"6♣,K♥,3♥,A♠,9♣","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
29,2.29,"9♣,4♦","3♣,J♣",1,"J♦,Q♠,8♥,4♠,2♦","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:raise:100,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
30,2.47,"Q♣,2♦","J♠,5♣",1,"5♦,J♦,Q♠,6♠,4♠","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:raise:100,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
31,1.60,"3♥,K♥","9♦,9♥",0,"7♣,5♣,K♠,Q♥,2♠","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
32,3.02,"10♣,K♠","Q♣,K♣",1,"4♠,6♥,7♠,10♦,A♥","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
33,1.66,"4♣,K♥","6♣,10♦",0,"Q♦,4♥,3♦,7♣,10♥","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:call:50;Round3:P0:call:50;Round4:P0:call:50"
34,2.21,"J♥,A♠","3♠,A♦",0,"7♥,7♣,10♠,8♥,7♠","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:raise:100,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
35,4.82,"5♥,7♥","9♣,Q♣",1,"7♣,J♦,K♠,A♠,4♦","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
36,4.05,"8♣,A♠","8♠,2♦",0,"10♠,6♦,4♥,A♥,2♥","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
37,7.46,"5♣,6♣","9♥,5♦",1,"A♠,3♣,5♥,3♠,Q♥","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
38,3.66,"J♠,3♠","K♣,A♦",0,"A♥,3♥,8♦,5♠,2♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:call:50;Round3:P0:call:50,P1:call:50;Round4:P0:call:50"
39,4.60,"3♣,A♣","6♣,2♦",0,"3♦,3♥,7♥,9♥,9♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
40,8.43,"4♠,10♥","6♣,5♦",0,"5♣,4♣,2♥,A♦,3♣","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
41,5.36,"8♥,6♦","4♣,5♦",0,"7♦,K♣,8♦,2♣,Q♣","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
42,9.66,"Q♣,4♥","7♦,4♣",0,"3♠,3♣,10♥,6♦,Q♠","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
43,7.48,"10♦,8♣","2♣,A♣",0,"5♥,9♣,3♥,6♠,5♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:raise:100,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
44,8.47,"2♠,2♣","5♦,A♦",0,"8♦,A♠,Q♣,4♣,4♠","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
45,8.38,"9♠,9♣","7♦,7♣",0,"6♦,5♠,4♠,K♠,8♦","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
46,7.57,"9♥,3♠","J♣,A♥",0,"6♣,8♣,8♦,7♣,10♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
47,18.09,"2♣,8♣","5♦,10♥",1,"6♠,J♦,8♥,3♣,K♣","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
48,9.09,"8♦,6♠","5♣,A♠",1,"K♠,7♠,7♣,J♥,2♣","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
49,5.72,"8♣,4♠","J♥,4♥",0,"J♦,9♥,6♠,K♥,10♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:call:50;Round3:P0:call:50;Round4:P0:call:50"
50,9.86,"2♥,7♣","5♠,2♣",1,"Q♥,7♥,9♠,J♣,J♦","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
1,11.69,"2♥,5♠","K♥,6♥",1,"J♥,9♥,J♦,6♣,7♣","Round1:P0:call:50,P1:call:50;Round2:P0:raise:150,P1:raise:100,P0:raise:150,P1:call:50;Round3:P0:raise:150;Round4:"
1,24.02,"J♠,9♦","7♠,8♥",1,"J♦,Q♣,10♥,4♣,3♣","Round1:P0:raise:150,P1:call:50;Round2:;Round3:;Round4:"
2,3.92,"10♥,J♣","J♦,K♠",0,"4♦,5♥,6♣,Q♥,6♥","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:raise:150,P0:raise:150,P1:call:50;Round3:P0:raise:150;Round4:P0:raise:150"
1,32.46,"A♠,Q♠","8♦,5♥",0,"7♠,10♣,5♠,J♠,2♦","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:raise150,P1:fold0;Round3:P0:raise150;Round4:P0:raise150"
2,49.67,"4♦,3♦","K♦,8♣",0,"J♥,2♥,Q♦,5♦,K♣","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:raise150,P1:call150;Round3:P0:raise150,P1:fold0;Round4:P0:call50"
1,13.76,"6♣,4♣","6♥,8♣",0,"8♠,10♦,K♣","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:fold0"
2,11.32,"6♠,2♠","8♠,10♣",0,"A♦,K♥,K♣,J♥","Round1:P0:call50,P1:call50,P0:call50;Round2:P0:call50,P1:call50;Round3:P0:call50,P1:fold0"
3,0.82,"7♣,2♦","5♣,2♣",0,,"Round1:P0:call50,P1:fold0"
4,32.93,"3♣,2♦","7♠,K♦",0,"2♣,J♣,4♥,9♠","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:call50;Round3:P0:call50,P1:fold0"
5,22.78,"A♦,9♠","9♦,Q♦",0,"5♠,K♦,9♥","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:fold0"
6,29.12,"5♥,10♠","10♦,2♥",1,"2♣,4♥,7♠,J♣,4♣","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:call50;Round3:P0:call50,P1:call50;Round4:P0:fold0"
7,2.57,"A♠,6♣","9♥,7♣",1,,Round1:P0:fold0
8,1.37,"7♠,7♦","10♣,7♣",1,"2♥,5♠,3♣","Round1:P0:raise150,P1:call150;Round2:P0:fold0"
9,0.67,"9♠,Q♠","J♦,7♣",0,,"Round1:P0:call50,P1:fold0"
10,9.06,"Q♦,10♣","Q♠,A♣",1,"8♥,2♦,9♣","Round1:P0:call50,P1:call50;Round2:P0:fold0"
11,17.27,"J♠,10♣","K♠,2♠",1,"2♥,A♠,8♥,2♦","Round1:P0:call50,P1:call50;Round2:P0:call50,P1:call50;Round3:P0:fold0"
12,2.59,"A♦,Q♠","4♠,7♣",0,,"Round1:P0:call50,P1:fold0"
13,0.29,"Q♦,5♥","3♦,4♥",1,,Round1:P0:fold0
14,0.31,"9♠,A♦","4♣,J♦",1,,Round1:P0:fold0
1,46.10,"5♦,7♠","J♥,J♣",0,"A♠,7♥,6♠","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:fold0"
2,10.11,"3♦,6♠","9♥,7♠",1,"6♦,K♦,7♥","Round1:P0:call50,P1:call50;Round2:P0:raise150,P1:raise250,P0:fold0"
3,41.67,"4♣,4♥","8♦,3♥",0,"7♣,9♦,2♦,5♣,10♥","Round1:P0:call50,P1:call50;Round2:P0:raise150,P1:call150;Round3:P0:raise150,P1:call150;Round4:P0:raise150,P1:raise350,P0:raise300,P1:raise300,P0:call50"
4,5.68,"4♦,10♠","10♣,9♠",0,"7♣,5♣,2♦","Round1:P0:call50,P1:raise50,P0:call50;Round2:P0:call50,P1:fold0"
5,2.25,"A♥,5♥","6♦,6♣",0,"A♠,8♥,5♣,A♦,K♠","Round1:P0:call50,P1:call0;Round2:P0:call50,P1:call0;Round3:P0:call50,P1:raise0,P0:call50;Round4:P0:call50,P1:call0"
6,2.45,"8♥,K♦","Q♥,2♠",0,"3♣,6♥,K♠","Round1:P0:call50,P1:raise0,P0:call50;Round2:P0:raise150,P1:fold0"
7,1.18,"J♦,10♥","8♠,2♦",1,,"Round1:P0:raise150,P1:raise0,P0:fold0"
8,0.69,"2♥,2♣","2♠,2♦",0,"10♦,A♠,9♠","Round1:P0:raise150,P1:call150;Round2:P0:raise150,P1:fold0"
9,1.17,"K♠,9♥","6♥,A♠",1,,"Round1:P0:raise150,P1:raise0,P0:fold0"
